Continent,Year,Life.Expectancy,Population,CO2.emissions,Electric.power.consumption,Health.expenditure,GDP.per.capita,Individuals.using.the.Internet,Military.expenditure,People.practicing.open.defecation,People.using.at.least.basic.drinking.water.services,Obesity.among.adults,Beer.consumption.per.capita
Europe,2011,77.844181,19228359.66,7.087655633,6575.422238,8.093077232,31027.12553,66.00450273,1.38397425,0.026674957,98.32469146,22.48421053,3.899473684
Europe,2012,77.98248716,19263001.74,6.827388926,6452.481944,8.177444081,31766.0937,69.26416077,1.370913015,0.024171275,98.37935827,22.95,3.880526316
Europe,2013,78.32017394,19310782.11,6.650108,6437.686331,8.190434669,32997.705,72.12554719,1.344981926,0.021012255,98.43466401,23.41052632,3.788947368
Europe,2014,78.61791913,19358186.89,6.324101604,6327.145017,8.162047724,33908.75787,74.33817261,1.348195802,0.018059061,98.48408802,23.90526316,3.775526316
Europe,2015,78.5658941,19403841.21,6.228529294,6223.345615,8.137797431,35078.89454,75.66394693,1.395757799,0.01660785,98.54625883,24.38684211,3.754473684
North America,2000,73.01092461,41071277.82,5.378520188,3828.101464,6.760693508,11676.10136,11.52059895,0.779242798,7.087827022,89.74170955,15.32727273,2.327785455
North America,2001,73.25750998,41550354.73,5.452995203,3939.270115,6.856146336,11998.71188,14.40878795,0.819336139,6.820474692,90.05434151,15.87272727,2.284445455
North America,2002,73.47625721,42013495.82,5.479550973,3881.878351,7.08909828,12365.45022,18.03583509,0.850492595,6.552455909,90.44096878,16.42727273,2.315113636
North America,2003,73.68736807,42455176.27,5.767813371,3937.617606,7.168398424,13043.47355,19.69265341,0.885535071,6.239859501,90.82010065,16.98181818,2.322250909
North America,2004,73.90631707,42920393,5.788472215,4068.711189,7.274559064,13828.56997,20.90839308,0.84469008,5.931113687,91.16078737,17.54545455,2.343587273
North America,2005,74.08504435,43392351.27,5.940845334,4079.223145,7.229669874,14721.55088,22.83046598,0.847169636,5.626114972,91.48327206,18.1,2.364566364
North America,2006,74.25979157,43886007.09,6.103458961,4144.901369,7.270277067,15853.4957,24.75546192,0.842952272,5.323908235,91.78967822,18.67272727,2.414486364
North America,2007,74.44451885,44382465.82,6.237854103,4132.817855,7.492822952,16722.984,27.25545455,0.870043925,5.024908997,92.09344744,19.21818182,2.445497273
North America,2008,74.60219512,44886496.18,5.931598673,4179.350552,7.606704365,17275.62592,30.01818182,0.948706485,4.726215448,92.39890386,19.8,2.466684545
North America,2009,74.80312417,45375928.18,5.567187013,4090.849702,8.180855793,16770.2092,32.56,1.043042231,4.431999517,92.68762372,20.38181818,2.45346
North America,2010,74.98489135,45851704.73,5.799459397,3934.677156,8.088968668,17360.52878,34.84545455,1.017270758,4.142084061,92.9772498,20.97272727,2.386363636
North America,2011,75.16020399,46294158.27,5.827744924,4023.576475,7.922020825,18121.70921,38.3778696,1.017840797,3.856345544,93.26157826,21.58181818,2.387272727
North America,2012,75.33584035,46741336.91,5.658827048,4093.508503,7.837927645,18610.72121,40.40757118,0.999996067,3.574762398,93.54378416,22.17272727,2.398181818
North America,2013,75.49193126,47175552.55,5.72355073,4070.442201,7.836625012,19307.92003,42.15993636,1.00945491,3.297283959,93.86852955,22.79090909,2.392727273
North America,2014,75.65067849,47619348.09,5.690055763,4135.142735,7.860884015,20050.67657,44.90858611,0.953915689,3.023852186,94.19277949,23.42727273,2.426363636
North America,2015,75.78911308,48055134.73,5.585575046,4146.959202,8.01523174,20408.86405,49.33524362,0.976234327,2.754540013,94.5310509,24.06363636,2.52
